Name,Suffix,Class,Form,Opcode,XO,Subdec,spr,BO,In,InImpl,Out,OutImpl,Action,Rc,SO,End,AA,LK,Priv,Lock,DE_OP,EXE_OP,MEM_OP,WB_OP,Notes,
and,.,Logical,X,31,28,,,,"RS,RB",,RA,,val_RA = val_RS & val_RB,1,0,,,,,,A=RS; B=RB; if (Rc) D=XERCR,R0=alu_and_ab; RC=Rc,R0,RA=R0; if (Rc) XERCR=RC,,
andc,.,Logical,X,31,60,,,,"RS,RB",,RA,,val_RA = val_RS & ~val_RB,1,0,,,,,,A=RS; B=RB; if (Rc) D=XERCR,R0=alu_andc_ab; RC=Rc,R0,RA=R0; if (Rc) XERCR=RC,,
andi_rc,,Logical,D,28,,,,,"RS,UI",,RA,,val_RA = val_RS & UI,A,0,,,,,,A=RS; B=UI; D=XERCR,R0=alu_and_ab; RC=RcA,R0,RA=R0; XERCR=RC,,
andis_rc,,Logical,D,29,,,,,"RS,UI",,RA,,val_RA = val_RS & ((REG)UI<<16),A,0,,,,,,A=RS; B=UI_HI; D=XERCR,R0=alu_and_ab; RC=RcA,R0,RA=R0; XERCR=RC,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
b,"a,l",Branch,I,18,,,,,"LI,AA",,,LR if LK,,,,1,1,1,,,A=LI,R1=PC4; R2=br_dest_PC_A_AA; br_annul,R1; newpc=R2,if (LK) spr_LR=R1,Adder for branch dest to PC; decode gives offset in A,
,,,,,,,,,,,,,,,,,,,,,,,,,,
bc,"a,l",Branch,B,16,,0,,,"BO,BI,BD","CTR,CR",,"CTR, LR if LK",,,,1,1,1,,,,,,,,
bc,"a,l",Branch,B,16,,1,,0b0000x,"BO,BI,BD","CTR,CR",,"CTR, LR if LK",,,,,1,1,,,A=BD; C=spr_CTR; D=XERCR,"R0=alu_dec_c; R1=PC4; R2=br_dest_PC_A_AA; br_cond_annul(C, NZ)",R0; R1; newpc=R2,spr_CTR=R0; if (LK) spr_LR=R1,"Exe is busy; CTR—, add PC+imm for br_dest, eval cond. Outputs newPC (dedicated port), CTR (regular ALU result), PC (alt ALU result).  Dedicated br adder.",
bc,"a,l",Branch,B,16,,1,,0b0001x,"BO,BI,BD","CTR,CR",,"CTR, LR if LK",,,,,1,1,,,A=BD; C=spr_CTR; D=XERCR,"R0=alu_dec_c; R1=PC4; R2=br_dest_PC_A_AA; br_cond_annul(C, Z)",R0; R1; newpc=R2,spr_CTR=R0; if (LK) spr_LR=R1,,
bc,"a,l",Branch,B,16,,1,,0b001xx,"BO,BI,BD",CR,,LR if LK,,,,,1,1,,,A=BD; D=XERCR,"R1=PC4; R2=br_dest_PC_A_AA; br_cond_annul(C, 1)",R1; newpc=R2,if (LK) spr_LR=R1,,
bc,"a,l",Branch,B,16,,1,,0b0100x,"BO,BI,BD","CTR,CR",,"CTR, LR if LK",,,,,1,1,,,A=BD; C=spr_CTR; D=XERCR,"R0=alu_dec_c; R1=PC4; R2=br_dest_PC_A_AA; br_cond_annul(T, NZ)",R0; R1; newpc=R2,spr_CTR=R0; if (LK) spr_LR=R1,,
bc,"a,l",Branch,B,16,,1,,0b0101x,"BO,BI,BD","CTR,CR",,"CTR, LR if LK",,,,,1,1,,,A=BD; C=spr_CTR; D=XERCR,"R0=alu_dec_c; R1=PC4; R2=br_dest_PC_A_AA; br_cond_annul(T, Z)",R0; R1; newpc=R2,spr_CTR=R0; if (LK) spr_LR=R1,,
bc,"a,l",Branch,B,16,,1,,0b011xx,"BO,BI,BD",CR,,LR if LK,,,,,1,1,,,A=BD; D=XERCR,"R1=PC4; R2=br_dest_PC_A_AA; br_cond_annul(T, 1)",R1; newpc=R2,if (LK) spr_LR=R1,,
bc,"a,l",Branch,B,16,,1,,0b1x00x,"BO,BI,BD",CTR,,"CTR, LR if LK",,,,,1,1,,,A=BD; C=spr_CTR,"R0=alu_dec_c; R1=PC4; R2=br_dest_PC_A_AA; br_cond_annul(1, NZ)",R0; R1; newpc=R2,spr_CTR=R0; if (LK) spr_LR=R1,,
bc,"a,l",Branch,B,16,,1,,0b1x01x,"BO,BI,BD",CTR,,"CTR, LR if LK",,,,,1,1,,,A=BD; C=spr_CTR,"R0=alu_dec_c; R1=PC4; R2=br_dest_PC_A_AA; br_cond_annul(1, Z)",R0; R1; newpc=R2,spr_CTR=R0; if (LK) spr_LR=R1,,
bc,"a,l",Branch,B,16,,1,,0b1x1xx,"BO,BI,BD",,,LR if LK,,,,,1,1,,,A=BD,R1=PC4; R2=br_dest_PC_A_AA; br_annul,R1; newpc=R2,if (LK) spr_LR=R1,NOTE: BO was 0b1x10x,
,,,,,,,,,,,,,,,,,,,,,,,,,,
bclr,l,Branch,XL,19,16,0,,,"BO,BI,BH","CTR,CR,LR",,"CTR, LR if LK",,,,1,0,1,,,,,,,,
bclr,l,Branch,XL,19,16,1,,0b0000x,"BO,BI,BH","CTR,CR,LR",,"CTR, LR if LK",,,,,0,1,,,A=spr_LR; C=spr_CTR; D=XERCR,"R0=alu_dec_c; R1=PC4; R2=br_dest_A; br_cond_annul(C, NZ)",R0; R1; newpc=R2,spr_CTR=R0; if (LK) spr_LR=R1,"br_dest_A is effectively just a move, but zeroes bottom bits.",
bclr,l,Branch,XL,19,16,1,,0b0001x,"BO,BI,BH","CTR,CR,LR",,"CTR, LR if LK",,,,,0,1,,,A=spr_LR; C=spr_CTR; D=XERCR,"R0=alu_dec_c; R1=PC4; R2=br_dest_A; br_cond_annul(C, Z)",R0; R1; newpc=R2,spr_CTR=R0; if (LK) spr_LR=R1,,
bclr,l,Branch,XL,19,16,1,,0b001xx,"BO,BI,BH","CR,LR",,LR if LK,,,,,0,1,,,A=spr_LR; D=XERCR,"R1=PC4; R2=br_dest_A; br_cond_annul(C, 1)",R1; newpc=R2,if (LK) spr_LR=R1,,
bclr,l,Branch,XL,19,16,1,,0b0100x,"BO,BI,BH","CTR,CR,LR",,"CTR, LR if LK",,,,,0,1,,,A=spr_LR; C=spr_CTR; D=XERCR,"R0=alu_dec_c; R1=PC4; R2=br_dest_A; br_cond_annul(T, NZ)",R0; R1; newpc=R2,spr_CTR=R0; if (LK) spr_LR=R1,,
bclr,l,Branch,XL,19,16,1,,0b0101x,"BO,BI,BH","CTR,CR,LR",,"CTR, LR if LK",,,,,0,1,,,A=spr_LR; C=spr_CTR; D=XERCR,"R0=alu_dec_c; R1=PC4; R2=br_dest_A; br_cond_annul(T, Z)",R0; R1; newpc=R2,spr_CTR=R0; if (LK) spr_LR=R1,,
bclr,l,Branch,XL,19,16,1,,0b011xx,"BO,BI,BH","CR,LR",,LR if LK,,,,,0,1,,,A=spr_LR; D=XERCR,"R1=PC4; R2=br_dest_A; br_cond_annul(T, 1)",R1; newpc=R2,if (LK) spr_LR=R1,,
bclr,l,Branch,XL,19,16,1,,0b1x00x,"BO,BI,BH","CTR,LR",,"CTR, LR if LK",,,,,0,1,,,A=spr_LR; C=spr_CTR; D=XERCR,"R0=alu_dec_c; R1=PC4; R2=br_dest_A; br_cond_annul(1, NZ)",R0; R1; newpc=R2,spr_CTR=R0; if (LK) spr_LR=R1,,
bclr,l,Branch,XL,19,16,1,,0b1x01x,"BO,BI,BH","CTR,LR",,"CTR, LR if LK",,,,,0,1,,,A=spr_LR; C=spr_CTR; D=XERCR,"R0=alu_dec_c; R1=PC4; R2=br_dest_A; br_cond_annul(1, Z)",R0; R1; newpc=R2,spr_CTR=R0; if (LK) spr_LR=R1,,
bclr,l,Branch,XL,19,16,1,,0b1x1xx,"BO,BI,BH",LR,,LR if LK,,,,,0,1,,,A=spr_LR,R1=PC4; R2=br_dest_A; br_annul,R1; newpc=R2,if (LK) spr_LR=R1,NOTE: BO was 0b1x10x,
,,,,,,,,,,,,,,,,,,,,,,,,,,
bcctr,l,Branch,XL,19,528,0,,,"BO,BI,BH","CTR,CR",,LR if LK,,,,1,0,1,,,,,,,,
bcctr,l,Branch,XL,19,528,1,,0b001xx,"BO,BI,BH","CTR,CR",,LR if LK,,,,,0,1,,,C=spr_CTR; D=XERCR,"R1=PC4; R2=br_dest_C; br_cond_annul(C, 1)",R1; newpc=R2,if (LK) spr_LR=R1,See br_dest_A note above.,
bcctr,l,Branch,XL,19,528,1,,0b011xx,"BO,BI,BH","CTR,CR",,LR if LK,,,,,0,1,,,C=spr_CTR; D=XERCR,"R1=PC4; R2=br_dest_C; br_cond_annul(T, 1)",R1; newpc=R2,if (LK) spr_LR=R1,,
bcctr,l,Branch,XL,19,528,1,,0b1x1xx,"BO,BI,BH",CTR,,LR if LK,,,,,0,1,,,C=spr_CTR,R1=PC4; R2=br_dest_C; br_annul,R1; newpc=R2,if (LK) spr_LR=R1,NOTE: BO was 0b1x10x,
,,,,,,,,,,,,,,,,,,,,,,,,,,
cmp,,Compare,X,31,0,,,,"BF,RA,RB",CR,,CR,"WRITE_CR_FIELD(val_CR, BF, CMP(val_RA, val_RB))",,,,,,,,A=RB; B=RA; C=BF; D=XERCR,R0=alu_sub_ba; RC=cmp_ab_c,,XERCR=RC,Writes CRn,
cmpi,,Compare,D,11,,,,,"BF,RA,SI",CR,,CR,"WRITE_CR_FIELD(val_CR, BF, CMP(val_RA, SI))",,,,,,,,A=SI; B=RA; C=BF; D=XERCR,R0=alu_sub_ba; RC=cmp_ab_c,,XERCR=RC,,
cmpl,,Compare,X,31,32,,,,"BF,RA,RB",CR,,CR,"WRITE_CR_FIELD(val_CR, BF, CMPu(val_RA, val_RB))",,,,,,,,A=RB; B=RA; C=BF; D=XERCR,R0=alu_sub_ba; RC=cmpu_ab_c,,XERCR=RC,,
cmpli,,Compare,D,10,,,,,"BF,RA,UI",CR,,CR,"WRITE_CR_FIELD(val_CR, BF, CMPu(val_RA, UI))",,,,,,,,A=UI; B=RA; C=BF; D=XERCR,R0=alu_sub_ba; RC=cmpu_ab_c,,XERCR=RC,,
cntlzw,.,Logical,X,31,26,,,,RS,,RA,,,1,,,,,,,A=RS; if (Rc) D=XERCR,R0=misc_cntlzw_a; RC=Rc,R0,RA=R0; if (Rc) XERCR=RC,,
crand,,CondReg,XL,19,257,,,,"BT,BA,BB",CR,,CR,"WBIT(val_CR, BT, RBIT(val_CR, BA) & RBIT(val_CR, BB))",,,,,,,,A=BA; B=BB; C=BT; D=XERCR,RC=cr_and_abc,,XERCR=RC,,
crandc,,CondReg,XL,19,129,,,,"BT,BA,BB",CR,,CR,"WBIT(val_CR, BT, RBIT(val_CR, BA) & ~RBIT(val_CR, BB))",,,,,,,,A=BA; B=BB; C=BT; D=XERCR,RC=cr_andc_abc,,XERCR=RC,,
creqv,,CondReg,XL,19,289,,,,"BT,BA,BB",CR,,CR,"WBIT(val_CR, BT, ~(RBIT(val_CR, BA) ^ RBIT(val_CR, BB)))",,,,,,,,A=BA; B=BB; C=BT; D=XERCR,RC=cr_eqv_abc,,XERCR=RC,,
crnand,,CondReg,XL,19,225,,,,"BT,BA,BB",CR,,CR,"WBIT(val_CR, BT, ~(RBIT(val_CR, BA) & RBIT(val_CR, BB)))",,,,,,,,A=BA; B=BB; C=BT; D=XERCR,RC=cr_nand_abc,,XERCR=RC,,
crnor,,CondReg,XL,19,33,,,,"BT,BA,BB",CR,,CR,"WBIT(val_CR, BT, ~(RBIT(val_CR, BA) | RBIT(val_CR, BB)))",,,,,,,,A=BA; B=BB; C=BT; D=XERCR,RC=cr_nor_abc,,XERCR=RC,,
cror,,CondReg,XL,19,449,,,,"BT,BA,BB",CR,,CR,"WBIT(val_CR, BT, RBIT(val_CR, BA) | RBIT(val_CR, BB))",,,,,,,,A=BA; B=BB; C=BT; D=XERCR,RC=cr_or_abc,,XERCR=RC,,
crorc,,CondReg,XL,19,417,,,,"BT,BA,BB",CR,,CR,"WBIT(val_CR, BT, RBIT(val_CR, BA) | ~RBIT(val_CR, BB))",,,,,,,,A=BA; B=BB; C=BT; D=XERCR,RC=cr_orc_abc,,XERCR=RC,,
crxor,,CondReg,XL,19,193,,,,"BT,BA,BB",CR,,CR,"WBIT(val_CR, BT, RBIT(val_CR, BA) ^ RBIT(val_CR, BB))",,,,,,,,A=BA; B=BB; C=BT; D=XERCR,RC=cr_xor_abc,,XERCR=RC,,
divw,".,o",Arithmetic,XO,31,491,,,,"RA,RB",,RT,,,1,1,,,,,,A=RA; B=RB; if (Rc || SO) D=XERCR,R0=div_ab; RC=Rc_SO,R0,RT=R0; if (Rc || SO) XERCR=RC,Check SO,
divwu,".,o",Arithmetic,XO,31,459,,,,"RA,RB",,RT,,,1,1,,,,,,A=RA; B=RB; if (Rc || SO) D=XERCR,R0=div_u_ab; RC=Rc_SO,R0,RT=R0; if (Rc || SO) XERCR=RC,Check SO,
eieio,,Special,X,31,854,,,,,,,,,,,,,,,,,,,,Barrier — NOP for now,
eqv,.,Logical,X,31,284,,,,"RS,RB",,RA,,val_RA = ~(val_RS ^ val_RB),1,,,,,,,A=RS; B=RB; if (Rc) D=XERCR,R0=alu_nxor_ab; RC=Rc,R0,RA=R0; if (Rc) XERCR=RC,TEST THIS,
extsb,.,Logical,X,31,954,,,,RS,,RA,,val_RA = SXT8(val_RS),1,,,,,,,A=RS; if (Rc) D=XERCR,R0=sxt_8_a; RC=Rc,R0,RA=R0; if (Rc) XERCR=RC,"WB does this on mem_result, could re-use that? (But want Rc/CR0 update which is much easier in EXE, so duplicate SXT.)",
extsh,.,Logical,X,31,922,,,,RS,,RA,,val_RA = SXT16(val_RS),1,,,,,,,A=RS; if (Rc) D=XERCR,R0=sxt_16_a; RC=Rc,R0,RA=R0; if (Rc) XERCR=RC,,
isync,,Special,XL,19,150,,,,,,,,,,,,,,,,,R2=PC4; br_annul,newpc=R2,,Simple barrier; drain PL. Assert newpc with pc+4,
lbz,,Memory,D,34,,,,,"RA0,D",,RT,,val_RT=LOAD8(val_RA0 + D) ; MFCHECK(1),,,,,,,,A=RA0; B=D,R0=alu_add_ab,L8,RT=mem_res,,
lbzu,,Memory,D,35,,,,,"RA,D",,"RT,RA",,ADR x = val_RA + D ; val_RT = LOAD8(x) ; val_RA = x ; MFCHECK(1),,,,,,,,A=RA; B=D,R0=alu_add_ab,R0; L8,RT=mem_res; RA=R0,FIXME: UNDEF if RA=0,
lbzx,,Memory,X,31,87,,,,"RA0,RB",,RT,,val_RT = LOAD8(val_RA0 + val_RB) ; MFCHECK(1),,,,,,,,A=RA0; B=RB,R0=alu_add_ab,L8,RT=mem_res,,
lbzux,,Memory,X,31,119,,,,"RA,RB",,"RT,RA",,ADR x = val_RA + val_RB ; val_RT = LOAD8(x) ; val_RA = x ; MFCHECK(1),,,,,,,,A=RA; B=RB,R0=alu_add_ab,R0; L8,RT=mem_res; RA=R0,FIXME: UNDEF if RA=0,
lha,,Memory,D,42,,,,,"RA0,D",,RT,,val_RT = SXT16(LOAD16(val_RA0 + D)) ; MFCHECK(1),,,,,,,,A=RA0; B=D,R0=alu_add_ab,L16,RT=sxt16_mem_res,,
lhau,,Memory,D,43,,,,,"RA,D",,"RT,RA",,ADR x = val_RA + D ; val_RT = SXT16(LOAD16(x)) ; val_RA = x ; MFCHECK(1),,,,,,,,A=RA; B=D,R0=alu_add_ab,R0; L16,RT=sxt16_mem_res; RA=R0,FIXME: UNDEF if RA=0,
lhax,,Memory,X,31,343,,,,"RA0,RB",,RT,,val_RT = SXT16(LOAD16(val_RA0 + val_RB)) ; MFCHECK(1),,,,,,,,A=RA0; B=RB,R0=alu_add_ab,L16,RT=sxt16_mem_res,,
lhaux,,Memory,X,31,375,,,,"RA,RB",,"RT,RA",,ADR x = val_RA + val_RB ; val_RT = SXT16(LOAD16(x)) ; val_RA = x ; MFCHECK(1),,,,,,,,A=RA; B=RB,R0=alu_add_ab,R0; L16,RT=sxt16_mem_res; RA=R0,FIXME: UNDEF if RA=0,
lhbrx,,Memory,X,31,790,,,,"RA0,RB",,RT,,val_RT = BSWAP16(LOAD16(val_RA0 + val_RB)) ; MFCHECK(1),,,,,,,,A=RA0; B=RB,R0=alu_add_ab,L16,RT=bswap16_mem_res,,
lhz,,Memory,D,40,,,,,"RA0,D",,RT,,val_RT = LOAD16(val_RA0 + D) ; MFCHECK(1),,,,,,,,A=RA0; B=D,R0=alu_add_ab,L16,RT=mem_res,,
lhzu,,Memory,D,41,,,,,"RA,D",,"RT,RA",,ADR x = val_RA + D ; val_RT = LOAD16(x) ; val_RA = x ; MFCHECK(1),,,,,,,,A=RA; B=D,R0=alu_add_ab,R0; L16,RT=mem_res; RA=R0,FIXME: UNDEF if RA=0,
lhzx,,Memory,X,31,279,,,,"RA0,RB",,RT,,val_RT = LOAD16(val_RA0 + val_RB) ; MFCHECK(1),,,,,,,,A=RA0; B=RB,R0=alu_add_ab,L16,RT=mem_res,,
lhzux,,Memory,X,31,311,,,,"RA,RB",,"RT,RA",,ADR x = val_RA + val_RB ; val_RT = LOAD16(x) ; val_RA = x ; MFCHECK(1),,,,,,,,A=RA; B=RB,R0=alu_add_ab,R0; L16,RT=mem_res; RA=R0,FIXME: UNDEF if RA=0,
lmw,,Memory,D,46,,,,,"RT,D,RA0",,,,,,,,,,,,A=RA0; B=D; state_lmw,R0=alu_add_ab,L32,RT=mem_res,DE does load_RX.  DE multi-cycle:  split into lwzu,
lmw-state_lmw,,Synthetic,,,,,,,,,,,,,,,,,,,,R0=alu_add_R0_4,L32,RX=mem_res,DE does inc_X,
lswi,,Memory,X,31,597,,,,"RT,RA0,NB",,,,,,,,,,H,,FC_ILL_HYP,,,,String,
lswx,,Memory,X,31,533,,,,"RT,RA0,RB",,,,,,,,,,H,,FC_ILL_HYP,,,,String,
lwarx,,Memory,X,31,20,,,,"RA0,RB,EH",,RT,,,,,,,,,,A=RA0; B=RB,R0=alu_add_ab,L32; RZV,RT=mem_res,synch.  Ignore EH.,
lwbrx,,Memory,X,31,534,,,,"RA0,RB",,RT,,val_RT = BSWAP32(LOAD32(val_RA0 + val_RB)) ; MFCHECK(1),,,,,,,,A=RA0; B=RB,R0=alu_add_ab,L32,RT=bswap32_mem_res,,
lwz,,Memory,D,32,,,,,"RA0,D",,RT,,val_RT = LOAD32(val_RA0 + D) ; MFCHECK(1),,,,,,,,A=RA0; B=D,R0=alu_add_ab,L32,RT=mem_res,,
lwzu,,Memory,D,33,,,,,"RA,D",,"RT,RA",,ADR x = val_RA + D ; val_RT = LOAD32(x) ; val_RA = x ; MFCHECK(1),,,,,,,,A=RA; B=D,R0=alu_add_ab,R0; L32,RT=mem_res; RA=R0,,
lwzx,,Memory,X,31,23,,,,"RA0,RB",,RT,,val_RT = LOAD32(val_RA0 + val_RB) ; MFCHECK(1),,,,,,,,A=RA0; B=RB,R0=alu_add_ab,L32,RT=mem_res,,
lwzux,,Memory,X,31,55,,,,"RA,RB",,"RT,RA",,ADR x = val_RA + val_RB ; val_RT = LOAD32(x) ; val_RA = x ; MFCHECK(1),,,,,,,,A=RA; B=RB,R0=alu_add_ab,R0; L32,RT=mem_res; RA=R0,,
mcrf,,CondReg,XL,19,0,,,,"BF,BFA",CR,,CR,,,,,,,,,B=BFA; C=BF; D=XERCR,RC=cr_copy_cr4_bcd,,XERCR=RC,"Copies entire 4-bit CR field, not just one bit.",
mcrxr,,CondReg,X,31,512,,,,BF,,,,,,,,,,,,FC_ILL_HYP,,,,"Deprecated, leads to SIGILL in v2.01+. BUT, supported in 750. :(",
mfcr,,CondReg,XFX,31,19,,,,,CR,RT,,,,,,,,,,D=XERCR,R1=D_TO_CR,R1,RT=R1,alu_res = CR,
mfmsr,,Special,X,31,83,,,,,MSR,RT,,val_RT = READ_MSR(),,,,,,S,,,R1=MSR,R1,RT=R1,MSR source,
,,,,,,,,,,,,,,,,,,,,,,,,,,
mfspr,,Special,XFX,31,339,0,,,spr,,RT,,,,,,,,,,,,,,RT=SPR[spr]; various registers incl TB/DEC.  See other sheet.,
mfspr,,Special,XFX,31,339,1,1,,spr,,RT,,,,,,,,,,D=XERCR,R1=D_TO_XER,R1,RT=R1,"Can SPRs go into a different port, e.g. C or D?",
mfspr,,Special,XFX,31,339,1,8,,spr,,RT,,,,,,,,,,C=spr_LR,R0=C,R0,RT=R0,,
mfspr,,Special,XFX,31,339,1,9,,spr,,RT,,,,,,,,,,C=spr_CTR,R0=C,R0,RT=R0,,
mfspr,,Special,XFX,31,339,1,18,,spr,,RT,,,,,,,,S,1,C=spr_DSISR,R0=C,R0,RT=R0,Some regs are rarely-accessed: no forwarding/locking!,
mfspr,,Special,XFX,31,339,1,19,,spr,,RT,,,,,,,,S,1,C=spr_DAR,R0=C,R0,RT=R0,Implement a 'generic lock-all’?  RAW needs to work.,
mfspr,,Special,XFX,31,339,1,22,,spr,,RT,,,,,,,,S,1,C=spr_DEC,R0=C,R0,RT=R0,,
mfspr,,Special,XFX,31,339,1,25,,spr,,RT,,,,,,,,S,1,C=spr_SDR1,R0=C,R0,RT=R0,,
mfspr,,Special,XFX,31,339,1,26,,spr,,RT,,,,,,,,S,1,C=spr_SRR0,R0=C,R0,RT=R0,,
mfspr,,Special,XFX,31,339,1,27,,spr,,RT,,,,,,,,S,1,C=spr_SRR1,R0=C,R0,RT=R0,,
mfspr,,Special,XFX,31,339,1,268,,spr,,RT,,,,,,,,,1,C=spr_TBL,R0=C,R0,RT=R0,,
mfspr,,Special,XFX,31,339,1,269,,spr,,RT,,,,,,,,,1,C=spr_TBU,R0=C,R0,RT=R0,,
mfspr,,Special,XFX,31,339,1,272,,spr,,RT,,,,,,,,S,,C=spr_SPRG0,R0=C,R0,RT=R0,Add HV-mode SPRGs,
mfspr,,Special,XFX,31,339,1,273,,spr,,RT,,,,,,,,S,,C=spr_SPRG1,R0=C,R0,RT=R0,,
mfspr,,Special,XFX,31,339,1,274,,spr,,RT,,,,,,,,S,,C=spr_SPRG2,R0=C,R0,RT=R0,,
mfspr,,Special,XFX,31,339,1,275,,spr,,RT,,,,,,,,S,,C=spr_SPRG3,R0=C,R0,RT=R0,,
mfspr,,Special,XFX,31,339,1,287,,spr,,RT,,,,,,,,S,1,C=spr_PVR,R0=C,R0,RT=R0,,
mfspr,,Special,XFX,31,339,1,0b1000x10xxx,,spr,,RT,,,,,,,,S,1,C=spr_IBAT(bat_idx),R0=C,R0,RT=R0,,
mfspr,,Special,XFX,31,339,1,0b1000x11xxx,,spr,,RT,,,,,,,,S,1,C=spr_DBAT(bat_idx),R0=C,R0,RT=R0,,
mfspr,,Special,XFX,31,339,1,1013,,spr,,RT,,,,,,,,S,1,C=spr_DABR,R0=C,R0,RT=R0,,
mfspr,,Special,XFX,31,339,1,1023,,spr,,RT,,,,,,,,S,1,C=spr_DEBUG,R0=C,R0,RT=R0,Debug access— not a real register.  getch?,
mfspr,,Special,XFX,31,339,1,1008,,spr,,RT,,,,,,,,S,1,C=spr_HID0,R0=C,R0,RT=R0,"Currently nothing in here, RAZ.",
,,,,,,,,,,,,,,,,,,,,,,,,,,
mftb,,Special,XFX,31,371,0,,,spr,,RT,,,,,,,,,,,,,,User access to TBU/TBL,
mftb,,Special,XFX,31,371,1,268,,spr,,RT,,,,,,,,,1,C=spr_TBL,R0=C,R0,RT=R0,,
mftb,,Special,XFX,31,371,1,269,,spr,,RT,,,,,,,,,1,C=spr_TBU,R0=C,R0,RT=R0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
mtcrf,,CondReg,XFX,31,144,,,,"FXM,RS",,,CR,,,,,,,,,A=FXM; B=RS; D=XERCR,RC=cr_insert_abd,,XERCR=RC,,
mtmsr,,Special,X,31,146,,,,RS,,,MSR,WRITE_MSR(val_RS); (void)val_MSR,,,2,,,S,,A=RS,R0=A; R2=PC4; br_annul,newmsr=R0; newpc=R2,,Looks like RFI but with implicit PC.  Self-synchronising.  (Execution synchronizing?),
,,,,,,,,,,,,,,,,,,,,,,,,,,
mtspr,,Special,XFX,31,467,0,,,"spr,RS",,,,,,,,,,,,,,,,FIXME:  Must flush p’line for some SPRs.  SPRS[spr] = RS,
mtspr,,Special,XFX,31,467,1,1,,"spr,RS",,,,,,,,,,,,B=RS; D=XERCR,RC=cr_insert_b,,XERCR=RC,,
mtspr,,Special,XFX,31,467,1,8,,"spr,RS",,,,,,,,,,,,B=RS,R1=B,R1,spr_LR=R1,Don’t think I need a full flush; arch requires isync...,
mtspr,,Special,XFX,31,467,1,9,,"spr,RS",,,,,,,,,,,,A=RS,R0=A,R0,spr_CTR=R0,Change of IBAT etc. or IR/DR = unpred?,
mtspr,,Special,XFX,31,467,1,18,,"spr,RS",,,,,,,,,,S,1,B=RS,R1=B,R1,spr_DSISR=R1,,
mtspr,,Special,XFX,31,467,1,19,,"spr,RS",,,,,,,,,,S,1,A=RS,R0=A,R0,spr_DAR=R0,,
mtspr,,Special,XFX,31,467,1,22,,"spr,RS",,,,,,,,,,S,1,A=RS,R0=A,R0,spr_DEC=R0,,
mtspr,,Special,XFX,31,467,1,25,,"spr,RS",,,,,,,,,,S,1,A=RS,R0=A,R0,spr_SDR1=R0,,
mtspr,,Special,XFX,31,467,1,26,,"spr,RS",,,,,,,,,,S,1,A=RS,R0=A,R0,spr_SRR0=R0,,
